Aantal,Aantal per 100000 inwoners,BevAant,Count,Datum,Gemeente
1,47.0,9.0,537833.0,19,03-22-2020,'s-Gravenhage
1,44.0,8.0,537833.0,18,03-21-2020,'s-Gravenhage
1,36.0,7.0,537833.0,17,03-20-2020,'s-Gravenhage
1,27.0,5.0,537833.0,16,03-19-2020,'s-Gravenhage
1,21.0,4.0,537833.0,15,03-18-2020,'s-Gravenhage
1,17.0,3.0,537833.0,14,03-17-2020,'s-Gravenhage
171,10.0,2.0,537833.0,12,03-16-2020,'s-Gravenhage
190,14.0,3.0,537833.0,13,03-16-2020,'s-Gravenhage
150,9.0,2.0,537833.0,11,03-14-2020,'s-Gravenhage
0,8.0,1.0,537833.0,10,03-13-2020,'s-Gravenhage
0,7.0,1.0,537833.0,09,03-12-2020,'s-Gravenhage
259,7.0,1.0,537833.0,08,03-11-2020,'s-Gravenhage
259,3.0,1.0,537833.0,07,03-10-2020,'s-Gravenhage
259,2.0,0.0,537833.0,06,03-09-2020,'s-Gravenhage
259,2.0,0.0,537833.0,05,03-08-2020,'s-Gravenhage
259,2.0,0.0,537833.0,04,03-07-2020,'s-Gravenhage
259,2.0,0.0,537833.0,03,03-06-2020,'s-Gravenhage
2,55.0,36.0,154205.0,19,03-22-2020,'s-Hertogenbosch
2,45.0,29.0,154205.0,18,03-21-2020,'s-Hertogenbosch
2,38.0,25.0,154205.0,17,03-20-2020,'s-Hertogenbosch
2,35.0,23.0,154205.0,16,03-19-2020,'s-Hertogenbosch
2,30.0,19.0,154205.0,15,03-18-2020,'s-Hertogenbosch
2,24.0,16.0,154205.0,14,03-17-2020,'s-Hertogenbosch
172,14.0,9.0,154205.0,12,03-16-2020,'s-Hertogenbosch
191,20.0,13.0,154205.0,13,03-16-2020,'s-Hertogenbosch
151,14.0,9.0,154205.0,11,03-14-2020,'s-Hertogenbosch
1,11.0,7.0,154205.0,10,03-13-2020,'s-Hertogenbosch
1,8.0,5.0,154205.0,09,03-12-2020,'s-Hertogenbosch
260,5.0,3.0,154205.0,08,03-11-2020,'s-Hertogenbosch
260,4.0,3.0,154205.0,07,03-10-2020,'s-Hertogenbosch
260,3.0,2.0,154205.0,06,03-09-2020,'s-Hertogenbosch
260,2.0,1.0,154205.0,05,03-08-2020,'s-Hertogenbosch
260,2.0,1.0,154205.0,04,03-07-2020,'s-Hertogenbosch
0,99.0,64.0,154205.0,17,03-20-2020,* Bij 112 personen is de woonplaats niet van bekend
0,99.0,64.0,154205.0,18,03-21-2020,* Bij 137 personen is de woonplaats niet van bekend
0,99.0,64.0,154205.0,19,03-22-2020,* Bij 55 personen is de woonplaats niet van bekend
1,13.0,8.0,154205.0,11,03-14-2020,* postcode ontbreekt bij 37 pt en 1 woont in buitenland
1,13.0,8.0,154205.0,12,03-16-2020,* postcode ontbreekt bij 58 pt en 1 woont in buitenland
0,99.0,64.0,154205.0,14,03-17-2020,* postcode ontbreekt bij 70 pt en 1 woont in buitenland
1,13.0,8.0,154205.0,13,03-16-2020,* postcode ontbreekt bij 70 pt en 1 woont in buitenland
0,99.0,64.0,154205.0,15,03-18-2020,* postcode ontbreekt bij 84 pt en 1 woont in buitenland
0,99.0,64.0,154205.0,16,03-19-2020,* postcode ontbreekt bij 89 pt en 1 woont in buitenland
3,1.0,4.0,25386.0,19,03-22-2020,Aa en Hunze
3,0.0,0.0,25386.0,18,03-21-2020,Aa en Hunze
3,0.0,0.0,25386.0,17,03-20-2020,Aa en Hunze
3,0.0,0.0,25386.0,16,03-19-2020,Aa en Hunze
3,0.0,0.0,25386.0,15,03-18-2020,Aa en Hunze
3,0.0,0.0,25386.0,14,03-17-2020,Aa en Hunze
4,7.0,22.0,31728.0,19,03-22-2020,Aalsmeer
4,5.0,16.0,31728.0,18,03-21-2020,Aalsmeer
4,5.0,16.0,31728.0,17,03-20-2020,Aalsmeer
4,4.0,13.0,31728.0,16,03-19-2020,Aalsmeer
4,3.0,9.0,31728.0,15,03-18-2020,Aalsmeer
4,3.0,9.0,31728.0,14,03-17-2020,Aalsmeer
2,3.0,9.0,31728.0,12,03-16-2020,Aalsmeer
2,3.0,9.0,31728.0,13,03-16-2020,Aalsmeer
2,3.0,9.0,31728.0,11,03-14-2020,Aalsmeer
2,3.0,9.0,31728.0,10,03-13-2020,Aalsmeer
2,2.0,6.0,31728.0,09,03-12-2020,Aalsmeer
1,2.0,6.0,31728.0,08,03-11-2020,Aalsmeer
1,2.0,6.0,31728.0,07,03-10-2020,Aalsmeer
5,1.0,4.0,27011.0,19,03-22-2020,Aalten
5,1.0,4.0,27011.0,18,03-21-2020,Aalten
